"institution_storing","nRecords","pRecords","RecordType","FilterType","cumFrac"
"Research Collection of Christoph Von Beeren",1539,0.000484716165457343,"raw","Any location",0.948918349105244
"Royal Ontario Museum",1529,0.000481566612725327,"raw","Any location",0.949399915717969
"Stellenbosch University, DST- NRF Centre of Excellence for Invasion Biology",1507,0.000474637596714891,"raw","Any location",0.949874553314684
"Swedish Museum of Natural History",1495,0.000470858133436471,"raw","Any location",0.95034541144812
"Research Collection of Crispin S. Guppy",1491,0.000469598312343664,"raw","Any location",0.950815009760464
"NEON Biorepository at ASU",1405,0.000442512158848322,"raw","Any location",0.951257521919312
"Research Collection of Thibaud Decaens",1394,0.000439047650843104,"raw","Any location",0.951696569570155
"South Australian Museum",1392,0.0004384177402967,"raw","Any location",0.952134987310452
"McGuire Centre for Lepidoptera and Biodiversity",1384,0.000435898098111087,"raw","Any location",0.952570885408563
"University of British Columbia, Beaty Biodiversity Museum, Spencer Entomological Collection",1370,0.000431488724286264,"raw","Any location",0.953002374132849
"Research Collection of Philippe Darge",1336,0.000420780244997408,"raw","Any location",0.953423154377847
"National Institute of Water and Atmospheric Research, Wellington",1329,0.000418575558084996,"raw","Any location",0.953841729935932
"Landesmuseum Kaernten",1325,0.00041731573699219,"raw","Any location",0.954259045672924
"Environment Canada",1305,0.000411016631528157,"raw","Any location",0.954670062304452
"University of Malaya, Museum of Zoology",1300,0.000409441855162148,"raw","Any location",0.955079504159614
"Research Collection of Hugo Kons, Jr.",1296,0.000408182034069342,"raw","Any location",0.955487686193684
"Canadian Forest Service, Atlantic Forestry Centre",1289,0.00040597734715693,"raw","Any location",0.95589366354084
"Research Collection of Carlos Prieto",1275,0.000401567973332107,"raw","Any location",0.956295231514173
"Flinders University",1256,0.000395583823141276,"raw","Any location",0.956690815337314
"CIRAD",1239,0.000390229583496848,"raw","Any location",0.957081044920811
"Agriculture and Agri-Food Canada, Southern Crop Protection and Food Research Centre",1230,0.000387394986038033,"raw","Any location",0.957468439906849
"Research Collection of Carlos G. C. Mielke",1222,0.00038487534385242,"raw","Any location",0.957853315250701
"Research Collection of Alfred Haslberger",1165,0.000366922893279925,"raw","Any location",0.958220238143981
"Huazhong Agricultural University",1142,0.000359678921996287,"raw","Any location",0.958579917065977
"Universidade Federal de Sao Carlos, Sorocaba Campus",1134,0.000357159279810674,"raw","Any location",0.958937076345788
"Research Collection of Michel Laguerre",1129,0.000355584503444666,"raw","Any location",0.959292660849233
"Agricultural Scientific Collections Unit, New South Wales",1121,0.000353064861259053,"raw","Any location",0.959645725710492
"Research Collection of Stefan Naumann",1108,0.000348970442707431,"raw","Any location",0.959994696153199
"New South Wales Department of Primary Industries",1107,0.000348655487434229,"raw","Any location",0.960343351640633
"Royal Belgian Institute of Natural Sciences",1102,0.000347080711068221,"raw","Any location",0.960690432351702
"Universidade Estadual de Campinas",1099,0.000346135845248616,"raw","Any location",0.96103656819695
"Universite de Rouen",1041,0.00032786843940292,"raw","Any location",0.961364436636353
"Smithsonian Tropical Research Institute, Center for Tropical Forest Science, Khao Chong, Arthropod Laboratory",1031,0.000324718886670904,"raw","Any location",0.961689155523024
"Mississippi Entomological Museum",1026,0.000323144110304896,"raw","Any location",0.962012299633329
"Centre de Biologie pour la Gestation des Populations",1020,0.000321254378665686,"raw","Any location",0.962333554011995
"Universite de Montpellier",1013,0.000319049691753274,"raw","Any location",0.962652603703748
"Research Collection of Egbert Friedrich",1010,0.000318104825933669,"raw","Any location",0.962970708529682
"Research Collection of Rodolphe Rougerie",1007,0.000317159960114064,"raw","Any location",0.963287868489796
"Research Collection of Kai Berggren",957,0.000301412196453982,"raw","Any location",0.96358928068625
"China Agricultural University",943,0.000297002822629158,"raw","Any location",0.963886283508879
"Research Collection of Eric Vingerhoedt",938,0.00029542804626315,"raw","Any location",0.964181711555142
"Nagoya City University, Graduate School of Natural Sciences",926,0.00029164858298473,"raw","Any location",0.964473360138127
"Universidad Nacional Autonoma de Mexico",920,0.00028975885134552,"raw","Any location",0.964763118989472
"University of Alberta, Strickland Museum of Entomology",879,0.000276845685144253,"raw","Any location",0.965039964674617
"University of Duisburg-Essen, Aquatic Ecology",870,0.000274011087685438,"raw","Any location",0.965313975762302
"Illinois Natural History Survey",859,0.00027054657968022,"raw","Any location",0.965584522341982
"Indiana University",856,0.000269601713860615,"raw","Any location",0.965854124055843
"Natural History Museum of Neuchatel",852,0.000268341892767808,"raw","Any location",0.966122465948611
"International Centre of Insect Physiology and Ecology",849,0.000267397026948203,"raw","Any location",0.966389862975559
"Research Collection of Nicolas Moulin",845,0.000266137205855396,"raw","Any location",0.966656000181414
"University of Guelph, Insect Collection",827,0.000260468010937767,"raw","Any location",0.966916468192352
"Institute of Biological Problems of the North",824,0.000259523145118162,"raw","Any location",0.96717599133747
"University of South Bohemia",820,0.000258263324025355,"raw","Any location",0.967434254661495
"University of Minnesota",814,0.000256373592386145,"raw","Any location",0.967690628253882
"Research Collection of Theo Gruenewald",793,0.000249759531648911,"raw","Any location",0.967940387785531
"Tampere Museum of Natural History",782,0.000246295023643692,"raw","Any location",0.968186682809174
"Research Collection of Yuri G. Alekseenko",777,0.000244720247277684,"raw","Any location",0.968431403056452
"Australian Quarantine and Inspection Service, Northern Australia Quarantine Strategy",773,0.000243460426184877,"raw","Any location",0.968674863482637
"Royal Museum for Central Africa",772,0.000243145470911676,"raw","Any location",0.968918008953549
"Museum Witt Muenchen",763,0.000240310873452861,"raw","Any location",0.969158319827001
"African Butterfly Research Centre",755,0.000237791231267248,"raw","Any location",0.969396111058269
"Research Collection of Benoit Vincent",751,0.000236531410174441,"raw","Any location",0.969632642468443
"ZSM Collection of Manfred Sommerer",749,0.000235901499628038,"raw","Any location",0.969868543968071
"British Antarctic Survey",724,0.000228027617797996,"raw","Any location",0.970096571585869
"Carnegie Museum of Natural History",717,0.000225822930885585,"raw","Any location",0.970322394516755
"Harvard University, Museum of Comparative Zoology",711,0.000223933199246375,"raw","Any location",0.970546327716001
"Chinese Academy of Sciences, Kunming Institute of Botany",710,0.000223618243973173,"raw","Any location",0.970769945959974
"University of California, San Diego",709,0.000223303288699972,"raw","Any location",0.970993249248674
"inatura, Dornbirn",692,0.000217949049055544,"raw","Any location",0.97121119829773
"New Brunswick Museum",691,0.000217634093782342,"raw","Any location",0.971428832391512
"Research Collection of Peter Lichtmannecker",688,0.000216689227962737,"raw","Any location",0.971645521619475
"University of Tennessee, Knoxville",675,0.000212594809411116,"raw","Any location",0.971858116428886
"Naturmuseum Suedtirol",665,0.000209445256679099,"raw","Any location",0.972067561685565
"Natural History Museum of Los Angeles County",664,0.000209130301405897,"raw","Any location",0.972276691986971
"Office National des Forets, Laboratoire National d'Entomologie Forestiere",660,0.000207870480313091,"raw","Any location",0.972484562467284
"McGill University, Lyman Entomological Museum",642,0.000202201285395461,"raw","Any location",0.972686763752679
"Institut de Biologia Evolutiva (CSIC-UPF)",624,0.000196532090477831,"raw","Any location",0.972883295843157
"University of Wollongong",614,0.000193382537745815,"raw","Any location",0.973076678380903
"Canadian Forest Service, Laurentian Forestry Centre",611,0.00019243767192621,"raw","Any location",0.973269116052829
"Laurentian University",609,0.000191807761379806,"raw","Any location",0.973460923814209
"Florida Museum of Natural History",598,0.000188343253374588,"raw","Any location",0.973649267067584
"Research Collection of Ian Watkinson",596,0.000187713342828185,"raw","Any location",0.973836980410412
"Bishop's University, Insect Collection",586,0.000184563790096168,"raw","Any location",0.974021544200508
"University of Massachusetts, Amherst",586,0.000184563790096168,"raw","Any location",0.974206107990604
"Agricultural Research Council, Plant Protection Research Institute, South Africa",580,0.000182674058456959,"raw","Any location",0.974388782049061
"Nanjing Agricultural University",579,0.000182359103183757,"raw","Any location",0.974571141152245
"Western Australian Museum",572,0.000180154416271345,"raw","Any location",0.974751295568516
"College of Charleston",567,0.000178579639905337,"raw","Any location",0.974929875208422
"Norwegian Institute for Nature Research",561,0.000176689908266127,"raw","Any location",0.975106565116688
"Trinity College, Dublin",560,0.000176374952992925,"raw","Any location",0.975282940069681
"Brock University",557,0.000175430087173321,"raw","Any location",0.975458370156854
"Research Collection of Martin Gossner",555,0.000174800176626917,"raw","Any location",0.975633170333481
"Museum fuer Naturkunde, Chemnitz",544,0.000171335668621699,"raw","Any location",0.975804506002103
"Research Collection of Yvan Pelletier",543,0.000171020713348497,"raw","Any location",0.975975526715451
"Research Collection of Jonathan Witt",539,0.000169760892255691,"raw","Any location",0.976145287607707
"Murray-Darling Freshwater Research Centre, Wondonga",518,0.000163146831518456,"raw","Any location",0.976308434439225
"Universidade Federal da Grande Dourados",515,0.000162201965698851,"raw","Any location",0.976470636404924
"Guangdong Inspection and Quarantine Technology Center",506,0.000159367368240036,"raw","Any location",0.976630003773164
"National Institute of Water and Atmospheric Research, Hamilton",497,0.000156532770781221,"raw","Any location",0.976786536543945
"Research Collection of Robert S. Copeland",491,0.000154643039142011,"raw","Any location",0.976941179583087
"Serengeti Wildlife Research Centre",477,0.000150233665317188,"raw","Any location",0.977091413248405
"University of Oklahoma",477,0.000150233665317188,"raw","Any location",0.977241646913722
"Research Collection of Tim Myles",474,0.000149288799497583,"raw","Any location",0.977390935713219
"Research Collection of Wolfgang Ten Hagen",474,0.000149288799497583,"raw","Any location",0.977540224512717
"University of Johannesburg",472,0.00014865888895118,"raw","Any location",0.977688883401668
"Bulgarian Academy of Sciences, Institute of Zoology",471,0.000148343933677978,"raw","Any location",0.977837227335346
"Bishop's University",470,0.000148028978404777,"raw","Any location",0.977985256313751
"Canterbury Museum",459,0.000144564470399559,"raw","Any location",0.97812982078415
"Universidade de Lisboa, Museu Nacional de Historia Natural",453,0.000142674738760349,"raw","Any location",0.978272495522911
"Research Collection of Paul H. Williams",451,0.000142044828213945,"raw","Any location",0.978414540351125
"Finnish Museum of Natural History",439,0.000138265364935526,"raw","Any location",0.97855280571606
"Nankai University, College of Life Sciences",435,0.000137005543842719,"raw","Any location",0.978689811259903
"Memorial University of Newfoundland",432,0.000136060678023114,"raw","Any location",0.978825871937926
"King Saud University",429,0.000135115812203509,"raw","Any location",0.97896098775013
"Institut des Sciences de la Mer de Rimouski",426,0.000134170946383904,"raw","Any location",0.979095158696513
"University of Turku",416,0.000131021393651887,"raw","Any location",0.979226180090165
"Research Collection of AfriBugs",415,0.000130706438378686,"raw","Any location",0.979356886528544
"National Museums of Kenya",411,0.000129446617285879,"raw","Any location",0.97948633314583
"Arizona Western College, Yuma",409,0.000128816706739476,"raw","Any location",0.979615149852569
"Research Collection of Brian Scholtens",401,0.000126297064553863,"raw","Any location",0.979741446917123
"International Centre of Insect Physiology and Ecology, Biosystematics Support Unit",398,0.000125352198734258,"raw","Any location",0.979866799115858
"Research Collection of Peter Buchner",396,0.000124722288187854,"raw","Any location",0.979991521404045
"Pontificia Universidad Catolica del Ecuador",391,0.000123147511821846,"raw","Any location",0.980114668915867
"Research Collection of Bernard Turlin",387,0.00012188769072904,"raw","Any location",0.980236556606596
"National Bureau of Agricultural Insect Resources, India",384,0.000120942824909435,"raw","Any location",0.980357499431506
"Research Collection of Bernard Dardenne",378,0.000119053093270225,"raw","Any location",0.980476552524776
"National Institute for Environmental Studies, Japan",376,0.000118423182723821,"raw","Any location",0.9805949757075
"Research Collection of Yves Estradel",375,0.00011810822745062,"raw","Any location",0.98071308393495
"University of Copenhagen",374,0.000117793272177418,"raw","Any location",0.980830877207128
"Research Collection of Gael Van De Weghe",362,0.000114013808898998,"raw","Any location",0.980944891016027
"Agriculture and Agri-Food Canada, London Research and Development Centre",361,0.000113698853625797,"raw","Any location",0.981058589869653
"Donana Biological Station",361,0.000113698853625797,"raw","Any location",0.981172288723278
"University of Florida",361,0.000113698853625797,"raw","Any location",0.981285987576904
"South China Agricultural University, Department of Entomology",359,0.000113068943079393,"raw","Any location",0.981399056519984
"National Institute of Water and Atmospheric Research, Auckland",357,0.00011243903253299,"raw","Any location",0.981511495552517
"National Plant Quarantine Service, South Korea",353,0.000111179211440183,"raw","Any location",0.981622674763957
"University of Tromso, Department of Arctic and Marine Biology",352,0.000110864256166982,"raw","Any location",0.981733539020124
"University of Ostrava",349,0.000109919390347377,"raw","Any location",0.981843458410471
"Mahidol University, Dept of Medical Entomology",344,0.000108344613981369,"raw","Any location",0.981951803024453
"Capital Normal University, College of Life Sciences",340,0.000107084792888562,"raw","Any location",0.982058887817341
"Research Collection of John Brown",338,0.000106454882342159,"raw","Any location",0.982165342699683
"Escuela Politecnica Nacional",335,0.000105510016522554,"raw","Any location",0.982270852716206
"Centro de Investigacion Biomedica de La Rioja",333,0.00010488010597615,"raw","Any location",0.982375732822182
"Museo de La Plata",328,0.000103305329610142,"raw","Any location",0.982479038151792
"Research Collection of Ales Lastuvka",328,0.000103305329610142,"raw","Any location",0.982582343481402
"Alfred Wegener Institute for Polar and Marine Research",323,0.000101730553244134,"raw","Any location",0.982684074034646
"Staatliches Museum fuer Naturkunde, Karlsruhe",323,0.000101730553244134,"raw","Any location",0.98278580458789
"University of Lodz, Dept of Invertebrate Zoology and Hydrobiology",322,0.000101415597970932,"raw","Any location",0.982887220185861
"Zoological Museum of Moscow University",319,0.000100470732151327,"raw","Any location",0.982987690918013
"Carleton University",317,9.98408216049239e-05,"raw","Any location",0.983087531739618
"Research Collection of Eric Van Schayck",317,9.98408216049239e-05,"raw","Any location",0.983187372561223
"University of Regensburg",317,9.98408216049239e-05,"raw","Any location",0.983287213382827
"Research Collection of Antoine Leveque",316,9.95258663317222e-05,"raw","Any location",0.983386739249159
"Research Collection of E. Kuzmin",315,9.92109110585206e-05,"raw","Any location",0.983485950160218
"Research Collection of Jukka Tabell",308,9.7006224146109e-05,"raw","Any location",0.983582956384364
"Research Collection of Norbert Poell",302,9.51164925068991e-05,"raw","Any location",0.983678072876871
"Fujian Agriculture and Forestry University",301,9.48015372336974e-05,"raw","Any location",0.983772874414104
"Queensland Museum",301,9.48015372336974e-05,"raw","Any location",0.983867675951338
"Research Collection of Alexander Schintlmeister",297,9.35417161408908e-05,"raw","Any location",0.983961217667479
"University of Lodz, Faculty of Biology and Environmental Protection",296,9.32267608676892e-05,"raw","Any location",0.984054444428347
"Research Collection of Ari Kakko",295,9.29118055944875e-05,"raw","Any location",0.984147356233941
"Ankara University Biotechnology Institute",294,9.25968503212859e-05,"raw","Any location",0.984239953084262
"University of Delaware",293,9.22818950480842e-05,"raw","Any location",0.984332234979311
"Research Collection of Teemu Rintala",286,9.00772081356726e-05,"raw","Any location",0.984422312187446
"Staatliches Museum fur Naturkunde, Stuttgart",286,9.00772081356726e-05,"raw","Any location",0.984512389395582
"Colorado State University, C. P. Gillette Museum of Arthropod Diversity",283,8.91323423160677e-05,"raw","Any location",0.984601521737898
"Universidade Federal do Parana, Departamento de Zoologia",283,8.91323423160677e-05,"raw","Any location",0.984690654080214
"Research Collection of Joerg Gelbrecht",282,8.8817387042866e-05,"raw","Any location",0.984779471467257
"Animal and Plant Health Agency, UK",281,8.85024317696644e-05,"raw","Any location",0.984867973899027
"Canadian Forest Service, Northern Forestry Centre",281,8.85024317696644e-05,"raw","Any location",0.984956476330796
"Kyoto University, Center for Ecological Research",279,8.78725212232611e-05,"raw","Any location",0.98504434885202
"Center for Biology and Management of Populations, Montpellier",276,8.69276554036561e-05,"raw","Any location",0.985131276507423
"University of Cambridge",274,8.62977448572528e-05,"raw","Any location",0.98521757425228
"University of Minho",273,8.59827895840512e-05,"raw","Any location",0.985303557041864
"USGS Glacier Field Station",273,8.59827895840512e-05,"raw","Any location",0.985389539831449
"CSIRO, Australian National Fish Collection",269,8.47229684912446e-05,"raw","Any location",0.98547426279994
"Research Collection of Vazrick Nazari",269,8.47229684912446e-05,"raw","Any location",0.985558985768431
"Research Collection of Alain Cama",268,8.44080132180429e-05,"raw","Any location",0.985643393781649
"UMR Ecologie des Forets de Guyane",264,8.31481921252363e-05,"raw","Any location",0.985726541973774
"Washington State Department of Agriculture",264,8.31481921252363e-05,"raw","Any location",0.985809690165899
"Consorzio Studi Universitari",260,8.18883710324297e-05,"raw","Any location",0.985891578536932
"University of Alaska Fairbanks",260,8.18883710324297e-05,"raw","Any location",0.985973466907964
"Montana State University",259,8.1573415759228e-05,"raw","Any location",0.986055040323724
"Research Collection of Steve Kohll",259,8.1573415759228e-05,"raw","Any location",0.986136613739483
"University of Connecticut",259,8.1573415759228e-05,"raw","Any location",0.986218187155242
"Canadian Museum of Nature",258,8.12584604860264e-05,"raw","Any location",0.986299445615728
"*unvouchered",252,7.93687288468165e-05,"raw","Any location",0.986378814344575
"Natural History Museum, Berne",245,7.71640419344049e-05,"raw","Any location",0.986455978386509
"Universidad Nacional de Mar del Plata, Estacion Nagera",245,7.71640419344049e-05,"raw","Any location",0.986533142428444
"Environment Protection Authority, Victoria",243,7.65341313880016e-05,"raw","Any location",0.986609676559832
"Kenai National Wildlife Refuge",241,7.59042208415983e-05,"raw","Any location",0.986685580780673
"Aarhus University",236,7.432944447559e-05,"raw","Any location",0.986759910225149
"University of Malaya",236,7.432944447559e-05,"raw","Any location",0.986834239669624
"Orange Agricultural Institute",234,7.36995339291867e-05,"raw","Any location",0.986907939203554
"Biodiversity Institute of Ontario, Informatics Department",233,7.33845786559851e-05,"raw","Any location",0.98698132378221
"Research Collection of D. Holden",231,7.27546681095818e-05,"raw","Any location",0.987054078450319
"Universidad de Murcia, Research Collection Biologia Animal",231,7.27546681095818e-05,"raw","Any location",0.987126833118429
"Research Collection of Mustafa Kemal Hatay",228,7.18098022899768e-05,"raw","Any location",0.987198642920719
"Research Collection of Jari Ilmonen",226,7.11798917435735e-05,"raw","Any location",0.987269822812462
"Washington State University, Prosser Campus",226,7.11798917435735e-05,"raw","Any location",0.987341002704206
"Canadian Forest Service, Great Lakes Forestry Centre",225,7.08649364703718e-05,"raw","Any location",0.987411867640676
"Goteborg Natural History Museum",224,7.05499811971702e-05,"raw","Any location",0.987482417621873
"Royal Alberta Museum",223,7.02350259239685e-05,"raw","Any location",0.987552652647797
"Research Collection of Richard Heindel",221,6.96051153775652e-05,"raw","Any location",0.987622257763175
"Research Collection of B. C. Schmidt",220,6.92901601043636e-05,"raw","Any location",0.987691547923279
"Research Collection of John Dean",220,6.92901601043636e-05,"raw","Any location",0.987760838083384
"Wagga Wagga Agricultural Institute",220,6.92901601043636e-05,"raw","Any location",0.987830128243488
"Universisdade de Sao Paulo, Faculdade de Saude Publica, Colecao Entomologica de Referencia",219,6.89752048311619e-05,"raw","Any location",0.987899103448319
"Naturhistorisches Museum Wien",218,6.86602495579603e-05,"raw","Any location",0.987967763697877
"Universidade Federal do Rio Grande",218,6.86602495579603e-05,"raw","Any location",0.988036423947435
"Agricultural Research Council, South Africa",217,6.83452942847586e-05,"raw","Any location",0.98810476924172
"Hebrew University of Jerusalem, National Collections of Natural History",216,6.8030339011557e-05,"raw","Any location",0.988172799580731
"Research Collection of Gary J. Umphrey",216,6.8030339011557e-05,"raw","Any location",0.988240829919743
"University of Amsterdam, Zoological Museum Amsterdam",216,6.8030339011557e-05,"raw","Any location",0.988308860258755
"South African Sugarcane Research Institute",215,6.77153837383553e-05,"raw","Any location",0.988376575642493
"Vilnius University, Institute of Ecology of Nature Research",215,6.77153837383553e-05,"raw","Any location",0.988444291026231
"Santa Barbara Museum of Natural History",208,6.55106968259437e-05,"raw","Any location",0.988509801723057
"University of Vienna, Dept of Tropical Ecology and Animal Biodiversity",206,6.48807862795404e-05,"raw","Any location",0.988574682509337
"Indonesian Institute of Sciences, Research Centre for Biology",205,6.45658310063388e-05,"raw","Any location",0.988639248340343
"Research Collection of Helmut Deutsch",205,6.45658310063388e-05,"raw","Any location",0.988703814171349
"University of Northern British Columbia",203,6.39359204599355e-05,"raw","Any location",0.988767750091809
"Queen's University",202,6.36209651867338e-05,"raw","Any location",0.988831371056996
"German Center for Marine Biodiversity Research",201,6.33060099135322e-05,"raw","Any location",0.98889467706691
"University of Oklahoma, Biological Station",200,6.29910546403305e-05,"raw","Any location",0.98895766812155
"Universidade Federal de Mato Grosso do Sul",198,6.23611440939272e-05,"raw","Any location",0.989020029265644
"University of Lethbridge",197,6.20461888207256e-05,"raw","Any location",0.989082075454465
"Museum of New Zealand Te Papa Tongarewa",195,6.14162782743223e-05,"raw","Any location",0.989143491732739
"Research Collection of Beth Clare",194,6.11013230011206e-05,"raw","Any location",0.98920459305574
"Research Collection of Juha Salokannel",193,6.0786367727919e-05,"raw","Any location",0.989265379423468
"University of California, Davis",193,6.0786367727919e-05,"raw","Any location",0.989326165791196
"Ataturk University",191,6.01564571815157e-05,"raw","Any location",0.989386322248378
