SeqID,SampleType,NewDate,Library,bioproject_accession,organism,env_broad_scale,env_local_scale,env_medium,host,lat_lon,taxonomy,isolate,catsite
oro160077,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160077,USA: Hopkinton NH
oro160078,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160078,USA: Hopkinton NH
oro160079,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160079,USA: Hopkinton NH
oro160080,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160080,USA: Hopkinton NH
oro160081,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160081,USA: Hopkinton NH
oro160082,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160082,USA: Hopkinton NH
oro160083,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160083,USA: Hopkinton NH
oro160084,sample,2016-06-19,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160084,USA: Hopkinton NH
oro160085,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160085,USA: Hopkinton NH
oro160086,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160086,USA: Hopkinton NH
oro160087,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160087,USA: Hopkinton NH
oro160088,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160088,USA: Hopkinton NH
oro160090,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160090,USA: Hopkinton NH
oro160091,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160091,USA: Hopkinton NH
oro160092,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160092,USA: Hopkinton NH
oro160093,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160093,USA: Hopkinton NH
oro160094,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160094,USA: Hopkinton NH
oro160095,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160095,USA: Hopkinton NH
oro160096,sample,2016-06-27,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160096,USA: Hopkinton NH
bri160138,sample,2016-06-18,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160138,USA: Acadia National Park ME
bri160139,sample,2016-06-18,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160139,USA: Acadia National Park ME
bri160141,sample,2016-07-09,libC,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160141,USA: Acadia National Park ME
bri160142,sample,2016-06-15,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160142,USA: Acadia National Park ME
bri160143,sample,2016-06-15,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160143,USA: Acadia National Park ME
bri160145,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160145,USA: Acadia National Park ME
bri160148,sample,2016-06-10,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160148,USA: Acadia National Park ME
bri160149,sample,2016-06-10,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160149,USA: Acadia National Park ME
bri160151,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160151,USA: Acadia National Park ME
bri160152,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160152,USA: Acadia National Park ME
bri160153,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160153,USA: Acadia National Park ME
bri160154,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160154,USA: Acadia National Park ME
bri160155,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160155,USA: Acadia National Park ME
bri160156,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160156,USA: Acadia National Park ME
bri160157,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160157,USA: Acadia National Park ME
bri160158,sample,2016-06-09,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160158,USA: Acadia National Park ME
bri160159,sample,2016-06-08,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160159,USA: Acadia National Park ME
bri160161,sample,2016-05-27,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160161,USA: Yorktown Naval Weapons Station VA
bri160162,sample,2016-05-27,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160162,USA: Yorktown Naval Weapons Station VA
bri160357,sample,2016-07-16,libC,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160357,USA: Ely Mine VT
oro160384,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160384,USA: Brown Lane Hollis NH
oro160385,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160385,USA: Brown Lane Hollis NH
oro160386,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160386,USA: Brown Lane Hollis NH
oro160387,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160387,USA: Brown Lane Hollis NH
oro160388,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160388,USA: Brown Lane Hollis NH
oro160392,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160392,USA: Brown Lane Hollis NH
oro160393,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160393,USA: Brown Lane Hollis NH
oro160394,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160394,USA: Brown Lane Hollis NH
oro160395,sample,2016-04-22,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160395,USA: Brown Lane Hollis NH
oro160396,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160396,USA: Maple Hill Hollis NH
oro160397,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160397,USA: Maple Hill Hollis NH
oro160398,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160398,USA: Maple Hill Hollis NH
oro160399,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160399,USA: Maple Hill Hollis NH
oro160400,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160400,USA: Maple Hill Hollis NH
oro160401,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160401,USA: Maple Hill Hollis NH
oro160403,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160403,USA: Maple Hill Hollis NH
oro160404,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160404,USA: Maple Hill Hollis NH
oro160405,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160405,USA: Maple Hill Hollis NH
bri160406,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160406,USA: Ely Mine VT
oro160406,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160406,USA: Maple Hill Hollis NH
bri160407,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160407,USA: Ely Mine VT
oro160407,sample,2016-04-29,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160407,USA: Maple Hill Hollis NH
bri160408,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160408,USA: Ely Mine VT
oro160408,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160408,USA: Brown Lane Hollis NH
bri160409,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160409,USA: Ely Mine VT
oro160409,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160409,USA: Brown Lane Hollis NH
bri160410,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160410,USA: Ely Mine VT
oro160410,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160410,USA: Brown Lane Hollis NH
bri160411,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160411,USA: Ely Mine VT
oro160411,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160411,USA: Brown Lane Hollis NH
oro160412,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160412,USA: Brown Lane Hollis NH
bri160412,sample,2016-07-28,libD,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,bri160412,USA: Ely Mine VT
oro160413,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160413,USA: Brown Lane Hollis NH
oro160414,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160414,USA: Brown Lane Hollis NH
oro160415,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160415,USA: Brown Lane Hollis NH
oro160416,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160416,USA: Brown Lane Hollis NH
oro160417,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160417,USA: Brown Lane Hollis NH
oro160418,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160418,USA: Brown Lane Hollis NH
oro160419,sample,2016-05-09,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160419,USA: Brown Lane Hollis NH
oro160420,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160420,USA: Brown Lane Hollis NH
oro160421,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160421,USA: Brown Lane Hollis NH
oro160422,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160422,USA: Brown Lane Hollis NH
oro160423,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160423,USA: Brown Lane Hollis NH
oro160424,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160424,USA: Brown Lane Hollis NH
oro160425,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160425,USA: Brown Lane Hollis NH
oro160426,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160426,USA: Brown Lane Hollis NH
oro160427,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160427,USA: Brown Lane Hollis NH
oro160428,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160428,USA: Brown Lane Hollis NH
oro160429,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160429,USA: Brown Lane Hollis NH
oro160430,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160430,USA: Brown Lane Hollis NH
oro160431,sample,2016-05-15,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160431,USA: Brown Lane Hollis NH
oro160434,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160434,USA: Brown Lane Hollis NH
oro160435,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160435,USA: Brown Lane Hollis NH
oro160436,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160436,USA: Brown Lane Hollis NH
oro160437,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160437,USA: Brown Lane Hollis NH
oro160438,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160438,USA: Brown Lane Hollis NH
oro160439,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160439,USA: Brown Lane Hollis NH
oro160440,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160440,USA: Brown Lane Hollis NH
oro160441,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160441,USA: Brown Lane Hollis NH
oro160442,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160442,USA: Brown Lane Hollis NH
oro160443,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160443,USA: Brown Lane Hollis NH
oro160444,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160444,USA: Brown Lane Hollis NH
oro160445,sample,2016-05-20,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160445,USA: Brown Lane Hollis NH
oro160446,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160446,USA: Brown Lane Hollis NH
oro160447,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160447,USA: Brown Lane Hollis NH
oro160448,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160448,USA: Brown Lane Hollis NH
oro160449,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160449,USA: Brown Lane Hollis NH
oro160450,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160450,USA: Brown Lane Hollis NH
oro160451,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160451,USA: Brown Lane Hollis NH
oro160452,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160452,USA: Brown Lane Hollis NH
oro160453,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160453,USA: Brown Lane Hollis NH
oro160454,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160454,USA: Brown Lane Hollis NH
oro160455,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160455,USA: Brown Lane Hollis NH
oro160456,sample,2016-05-26,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160456,USA: Brown Lane Hollis NH
oro160458,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160458,USA: Brown Lane Hollis NH
oro160459,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160459,USA: Brown Lane Hollis NH
oro160460,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160460,USA: Brown Lane Hollis NH
oro160461,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160461,USA: Brown Lane Hollis NH
oro160462,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160462,USA: Brown Lane Hollis NH
oro160463,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160463,USA: Brown Lane Hollis NH
oro160464,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160464,USA: Brown Lane Hollis NH
oro160466,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160466,USA: Brown Lane Hollis NH
oro160467,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160467,USA: Brown Lane Hollis NH
oro160469,sample,2016-06-04,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160469,USA: Brown Lane Hollis NH
oro160470,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160470,USA: Brown Lane Hollis NH
oro160471,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160471,USA: Brown Lane Hollis NH
oro160472,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160472,USA: Brown Lane Hollis NH
oro160473,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160473,USA: Brown Lane Hollis NH
oro160474,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160474,USA: Brown Lane Hollis NH
oro160475,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160475,USA: Brown Lane Hollis NH
oro160476,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160476,USA: Brown Lane Hollis NH
oro160477,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160477,USA: Brown Lane Hollis NH
oro160478,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160478,USA: Brown Lane Hollis NH
oro160480,sample,2016-06-10,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160480,USA: Brown Lane Hollis NH
oro160484,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160484,USA: Brown Lane Hollis NH
oro160485,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160485,USA: Brown Lane Hollis NH
oro160486,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160486,USA: Brown Lane Hollis NH
oro160487,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160487,USA: Brown Lane Hollis NH
oro160488,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160488,USA: Brown Lane Hollis NH
oro160489,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160489,USA: Brown Lane Hollis NH
oro160490,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160490,USA: Brown Lane Hollis NH
oro160491,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160491,USA: Brown Lane Hollis NH
oro160492,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160492,USA: Brown Lane Hollis NH
oro160493,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160493,USA: Brown Lane Hollis NH
oro160494,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160494,USA: Brown Lane Hollis NH
oro160495,sample,2016-06-18,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160495,USA: Brown Lane Hollis NH
oro160497,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160497,USA: Brown Lane Hollis NH
oro160498,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160498,USA: Brown Lane Hollis NH
oro160499,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160499,USA: Brown Lane Hollis NH
oro160500,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160500,USA: Brown Lane Hollis NH
oro160501,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160501,USA: Brown Lane Hollis NH
oro160502,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160502,USA: Brown Lane Hollis NH
oro160503,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160503,USA: Brown Lane Hollis NH
oro160505,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160505,USA: Brown Lane Hollis NH
oro160506,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160506,USA: Brown Lane Hollis NH
oro160507,sample,2016-06-25,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160507,USA: Brown Lane Hollis NH
oro160508,sample,2016-07-03,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160508,USA: Brown Lane Hollis NH
oro160509,sample,2016-07-03,libB,PRJNA518082,not collected,not collected,not applicable,not applicable,not collected,not applicable,feces metagenome,oro160509,USA: Brown Lane Hollis NH
