bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	Library
PRJNA518082	negoro09A01	negoro09A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09A01_L001_R1_001.fastq.gz	negoro09A01_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09C03	negoro09C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09C03_L001_R1_001.fastq.gz	negoro09C03_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09D04	negoro09D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09D04_L001_R1_001.fastq.gz	negoro09D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09E05	negoro09E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09E05_L001_R1_001.fastq.gz	negoro09E05_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09F06	negoro09F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09F06_L001_R1_001.fastq.gz	negoro09F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09G07	negoro09G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09G07_L001_R1_001.fastq.gz	negoro09G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro09H08	negoro09H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro09H08_L001_R1_001.fastq.gz	negoro09H08_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10B02	negoro10B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10B02_L001_R1_001.fastq.gz	negoro10B02_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10D04	negoro10D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10D04_L001_R1_001.fastq.gz	negoro10D04_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10E05	negoro10E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10E05_L001_R1_001.fastq.gz	negoro10E05_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10F06	negoro10F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10F06_L001_R1_001.fastq.gz	negoro10F06_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10G07	negoro10G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10G07_L001_R1_001.fastq.gz	negoro10G07_L001_R2_001.fastq.gz	libA
PRJNA518082	negoro10H08	negoro10H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro10H08_L001_R1_001.fastq.gz	negoro10H08_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161134	oro161134	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161134_L001_R1_001.fastq.gz	oro161134_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161135	oro161135	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161135_L001_R1_001.fastq.gz	oro161135_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161136	oro161136	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161136_L001_R1_001.fastq.gz	oro161136_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161137	oro161137	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161137_L001_R1_001.fastq.gz	oro161137_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161138	oro161138	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161138_L001_R1_001.fastq.gz	oro161138_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161139	oro161139	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161139_L001_R1_001.fastq.gz	oro161139_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161140	oro161140	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161140_L001_R1_001.fastq.gz	oro161140_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161141	oro161141	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161141_L001_R1_001.fastq.gz	oro161141_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161142	oro161142	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161142_L001_R1_001.fastq.gz	oro161142_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161143	oro161143	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161143_L001_R1_001.fastq.gz	oro161143_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161144	oro161144	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161144_L001_R1_001.fastq.gz	oro161144_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161146	oro161146	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161146_L001_R1_001.fastq.gz	oro161146_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161147	oro161147	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161147_L001_R1_001.fastq.gz	oro161147_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161148	oro161148	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161148_L001_R1_001.fastq.gz	oro161148_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161149	oro161149	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161149_L001_R1_001.fastq.gz	oro161149_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161150	oro161150	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161150_L001_R1_001.fastq.gz	oro161150_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161151	oro161151	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161151_L001_R1_001.fastq.gz	oro161151_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161152	oro161152	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161152_L001_R1_001.fastq.gz	oro161152_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161153	oro161153	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161153_L001_R1_001.fastq.gz	oro161153_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161154	oro161154	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161154_L001_R1_001.fastq.gz	oro161154_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161155	oro161155	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161155_L001_R1_001.fastq.gz	oro161155_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161156	oro161156	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161156_L001_R1_001.fastq.gz	oro161156_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161157	oro161157	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161157_L001_R1_001.fastq.gz	oro161157_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161158	oro161158	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161158_L001_R1_001.fastq.gz	oro161158_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161159	oro161159	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161159_L001_R1_001.fastq.gz	oro161159_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161160	oro161160	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161160_L001_R1_001.fastq.gz	oro161160_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161161	oro161161	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161161_L001_R1_001.fastq.gz	oro161161_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161162	oro161162	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161162_L001_R1_001.fastq.gz	oro161162_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161164	oro161164	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161164_L001_R1_001.fastq.gz	oro161164_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161165	oro161165	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161165_L001_R1_001.fastq.gz	oro161165_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161166	oro161166	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161166_L001_R1_001.fastq.gz	oro161166_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161167	oro161167	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161167_L001_R1_001.fastq.gz	oro161167_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161168	oro161168	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161168_L001_R1_001.fastq.gz	oro161168_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161169	oro161169	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161169_L001_R1_001.fastq.gz	oro161169_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161170	oro161170	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161170_L001_R1_001.fastq.gz	oro161170_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161171	oro161171	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161171_L001_R1_001.fastq.gz	oro161171_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161171a	oro161171a	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161171a_L001_R1_001.fastq.gz	oro161171a_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161171b	oro161171b	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161171b_L001_R1_001.fastq.gz	oro161171b_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161172	oro161172	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161172_L001_R1_001.fastq.gz	oro161172_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161173	oro161173	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161173_L001_R1_001.fastq.gz	oro161173_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161174	oro161174	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161174_L001_R1_001.fastq.gz	oro161174_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161175	oro161175	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161175_L001_R1_001.fastq.gz	oro161175_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161176	oro161176	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161176_L001_R1_001.fastq.gz	oro161176_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161178	oro161178	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161178_L001_R1_001.fastq.gz	oro161178_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161179	oro161179	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161179_L001_R1_001.fastq.gz	oro161179_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161180	oro161180	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161180_L001_R1_001.fastq.gz	oro161180_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161181	oro161181	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161181_L001_R1_001.fastq.gz	oro161181_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161324	oro161324	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161324_L001_R1_001.fastq.gz	oro161324_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161325	oro161325	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161325_L001_R1_001.fastq.gz	oro161325_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161327	oro161327	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161327_L001_R1_001.fastq.gz	oro161327_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161328	oro161328	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161328_L001_R1_001.fastq.gz	oro161328_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161329	oro161329	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161329_L001_R1_001.fastq.gz	oro161329_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161330	oro161330	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161330_L001_R1_001.fastq.gz	oro161330_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161331	oro161331	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161331_L001_R1_001.fastq.gz	oro161331_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161334	oro161334	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161334_L001_R1_001.fastq.gz	oro161334_L001_R2_001.fastq.gz	libA
