Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN10876461	oro160454	oro160454	feces metagenome	1861841	oro160454	PRJNA518082
SAMN10876462	oro160455	oro160455	feces metagenome	1861841	oro160455	PRJNA518082
SAMN10876463	oro160456	oro160456	feces metagenome	1861841	oro160456	PRJNA518082
SAMN10876464	oro160458	oro160458	feces metagenome	1861841	oro160458	PRJNA518082
SAMN10876465	oro160459	oro160459	feces metagenome	1861841	oro160459	PRJNA518082
SAMN10876466	oro160460	oro160460	feces metagenome	1861841	oro160460	PRJNA518082
SAMN10876467	oro160461	oro160461	feces metagenome	1861841	oro160461	PRJNA518082
SAMN10876468	oro160462	oro160462	feces metagenome	1861841	oro160462	PRJNA518082
SAMN10876469	oro160463	oro160463	feces metagenome	1861841	oro160463	PRJNA518082
SAMN10876470	oro160464	oro160464	feces metagenome	1861841	oro160464	PRJNA518082
SAMN10876471	oro160466	oro160466	feces metagenome	1861841	oro160466	PRJNA518082
SAMN10876472	oro160467	oro160467	feces metagenome	1861841	oro160467	PRJNA518082
SAMN10876473	oro160469	oro160469	feces metagenome	1861841	oro160469	PRJNA518082
SAMN10876474	oro160470	oro160470	feces metagenome	1861841	oro160470	PRJNA518082
SAMN10876475	oro160471	oro160471	feces metagenome	1861841	oro160471	PRJNA518082
SAMN10876476	oro160472	oro160472	feces metagenome	1861841	oro160472	PRJNA518082
SAMN10876477	oro160473	oro160473	feces metagenome	1861841	oro160473	PRJNA518082
SAMN10876478	oro160474	oro160474	feces metagenome	1861841	oro160474	PRJNA518082
SAMN10876479	oro160475	oro160475	feces metagenome	1861841	oro160475	PRJNA518082
SAMN10876480	oro160476	oro160476	feces metagenome	1861841	oro160476	PRJNA518082
SAMN10876481	oro160477	oro160477	feces metagenome	1861841	oro160477	PRJNA518082
SAMN10876482	oro160478	oro160478	feces metagenome	1861841	oro160478	PRJNA518082
SAMN10876483	oro160480	oro160480	feces metagenome	1861841	oro160480	PRJNA518082
SAMN10876484	oro160484	oro160484	feces metagenome	1861841	oro160484	PRJNA518082
SAMN10876485	oro160485	oro160485	feces metagenome	1861841	oro160485	PRJNA518082
SAMN10876486	oro160486	oro160486	feces metagenome	1861841	oro160486	PRJNA518082
SAMN10876487	oro160487	oro160487	feces metagenome	1861841	oro160487	PRJNA518082
SAMN10876488	oro160488	oro160488	feces metagenome	1861841	oro160488	PRJNA518082
SAMN10876489	oro160489	oro160489	feces metagenome	1861841	oro160489	PRJNA518082
SAMN10876490	oro160490	oro160490	feces metagenome	1861841	oro160490	PRJNA518082
SAMN10876491	oro160491	oro160491	feces metagenome	1861841	oro160491	PRJNA518082
SAMN10876492	oro160492	oro160492	feces metagenome	1861841	oro160492	PRJNA518082
SAMN10876493	oro160493	oro160493	feces metagenome	1861841	oro160493	PRJNA518082
SAMN10876494	oro160494	oro160494	feces metagenome	1861841	oro160494	PRJNA518082
SAMN10876495	oro160495	oro160495	feces metagenome	1861841	oro160495	PRJNA518082
SAMN10876496	oro160497	oro160497	feces metagenome	1861841	oro160497	PRJNA518082
SAMN10876497	oro160498	oro160498	feces metagenome	1861841	oro160498	PRJNA518082
SAMN10876498	oro160499	oro160499	feces metagenome	1861841	oro160499	PRJNA518082
SAMN10876499	oro160500	oro160500	feces metagenome	1861841	oro160500	PRJNA518082
SAMN10876500	oro160501	oro160501	feces metagenome	1861841	oro160501	PRJNA518082
SAMN10876501	oro160502	oro160502	feces metagenome	1861841	oro160502	PRJNA518082
SAMN10876502	oro160503	oro160503	feces metagenome	1861841	oro160503	PRJNA518082
SAMN10876503	oro160505	oro160505	feces metagenome	1861841	oro160505	PRJNA518082
SAMN10876504	oro160506	oro160506	feces metagenome	1861841	oro160506	PRJNA518082
SAMN10876505	oro160507	oro160507	feces metagenome	1861841	oro160507	PRJNA518082
SAMN10876506	oro160508	oro160508	feces metagenome	1861841	oro160508	PRJNA518082
SAMN10876507	oro160509	oro160509	feces metagenome	1861841	oro160509	PRJNA518082
SAMN10876508	oro160510	oro160510	feces metagenome	1861841	oro160510	PRJNA518082
SAMN10876509	oro160511	oro160511	feces metagenome	1861841	oro160511	PRJNA518082
SAMN10876510	oro160512	oro160512	feces metagenome	1861841	oro160512	PRJNA518082
SAMN10876511	oro160513	oro160513	feces metagenome	1861841	oro160513	PRJNA518082
SAMN10876512	oro160514	oro160514	feces metagenome	1861841	oro160514	PRJNA518082
SAMN10876513	oro160515	oro160515	feces metagenome	1861841	oro160515	PRJNA518082
SAMN10876514	oro160516	oro160516	feces metagenome	1861841	oro160516	PRJNA518082
SAMN10876515	oro160517	oro160517	feces metagenome	1861841	oro160517	PRJNA518082
SAMN10876516	oro160518	oro160518	feces metagenome	1861841	oro160518	PRJNA518082
SAMN10876517	oro160519	oro160519	feces metagenome	1861841	oro160519	PRJNA518082
SAMN10876518	oro160520	oro160520	feces metagenome	1861841	oro160520	PRJNA518082
SAMN10876519	oro160521	oro160521	feces metagenome	1861841	oro160521	PRJNA518082
SAMN10876520	oro160522	oro160522	feces metagenome	1861841	oro160522	PRJNA518082
SAMN10876521	oro160523	oro160523	feces metagenome	1861841	oro160523	PRJNA518082
SAMN10876522	oro160524	oro160524	feces metagenome	1861841	oro160524	PRJNA518082
SAMN10876523	oro160525	oro160525	feces metagenome	1861841	oro160525	PRJNA518082
SAMN10876524	oro160526	oro160526	feces metagenome	1861841	oro160526	PRJNA518082
SAMN10876525	oro160527	oro160527	feces metagenome	1861841	oro160527	PRJNA518082
SAMN10876526	oro160528	oro160528	feces metagenome	1861841	oro160528	PRJNA518082
SAMN10876527	oro160529	oro160529	feces metagenome	1861841	oro160529	PRJNA518082
SAMN10876528	oro160530	oro160530	feces metagenome	1861841	oro160530	PRJNA518082
SAMN10876529	oro160531	oro160531	feces metagenome	1861841	oro160531	PRJNA518082
SAMN10876530	oro160534	oro160534	feces metagenome	1861841	oro160534	PRJNA518082
SAMN10876531	oro160535	oro160535	feces metagenome	1861841	oro160535	PRJNA518082
SAMN10876532	oro160536	oro160536	feces metagenome	1861841	oro160536	PRJNA518082
SAMN10876533	oro160537	oro160537	feces metagenome	1861841	oro160537	PRJNA518082
SAMN10876534	oro160538	oro160538	feces metagenome	1861841	oro160538	PRJNA518082
SAMN10876535	oro160539	oro160539	feces metagenome	1861841	oro160539	PRJNA518082
SAMN10876536	oro160540	oro160540	feces metagenome	1861841	oro160540	PRJNA518082
SAMN10876537	oro160541	oro160541	feces metagenome	1861841	oro160541	PRJNA518082
SAMN10876538	oro160542	oro160542	feces metagenome	1861841	oro160542	PRJNA518082
SAMN10876539	oro160543	oro160543	feces metagenome	1861841	oro160543	PRJNA518082
SAMN10876540	oro160544	oro160544	feces metagenome	1861841	oro160544	PRJNA518082
SAMN10876541	oro160545	oro160545	feces metagenome	1861841	oro160545	PRJNA518082
SAMN10876542	oro160546	oro160546	feces metagenome	1861841	oro160546	PRJNA518082
SAMN10876543	oro160547	oro160547	feces metagenome	1861841	oro160547	PRJNA518082
SAMN10876544	oro160548	oro160548	feces metagenome	1861841	oro160548	PRJNA518082
SAMN10876545	oro160550	oro160550	feces metagenome	1861841	oro160550	PRJNA518082
SAMN10876546	oro160551	oro160551	feces metagenome	1861841	oro160551	PRJNA518082
SAMN10876547	oro160552	oro160552	feces metagenome	1861841	oro160552	PRJNA518082
SAMN10876548	oro160553	oro160553	feces metagenome	1861841	oro160553	PRJNA518082
SAMN10876549	oro160554	oro160554	feces metagenome	1861841	oro160554	PRJNA518082
SAMN10876550	oro160555	oro160555	feces metagenome	1861841	oro160555	PRJNA518082
SAMN10876551	oro160556	oro160556	feces metagenome	1861841	oro160556	PRJNA518082
SAMN10876552	oro160557	oro160557	feces metagenome	1861841	oro160557	PRJNA518082
SAMN10876553	oro160558	oro160558	feces metagenome	1861841	oro160558	PRJNA518082
SAMN10876554	oro160559	oro160559	feces metagenome	1861841	oro160559	PRJNA518082
SAMN10876555	oro160560	oro160560	feces metagenome	1861841	oro160560	PRJNA518082
SAMN10876556	oro160561	oro160561	feces metagenome	1861841	oro160561	PRJNA518082
SAMN10876557	oro160562	oro160562	feces metagenome	1861841	oro160562	PRJNA518082
SAMN10876558	oro160563	oro160563	feces metagenome	1861841	oro160563	PRJNA518082
SAMN10876559	oro160564	oro160564	feces metagenome	1861841	oro160564	PRJNA518082
SAMN10876560	oro160565	oro160565	feces metagenome	1861841	oro160565	PRJNA518082
SAMN10876561	oro160566	oro160566	feces metagenome	1861841	oro160566	PRJNA518082
SAMN10876562	oro160567	oro160567	feces metagenome	1861841	oro160567	PRJNA518082
SAMN10876563	oro160568	oro160568	feces metagenome	1861841	oro160568	PRJNA518082
SAMN10876564	oro160569	oro160569	feces metagenome	1861841	oro160569	PRJNA518082
SAMN10876565	oro160570	oro160570	feces metagenome	1861841	oro160570	PRJNA518082
SAMN10876566	oro160571	oro160571	feces metagenome	1861841	oro160571	PRJNA518082
SAMN10876567	oro160572	oro160572	feces metagenome	1861841	oro160572	PRJNA518082
SAMN10876568	oro160573	oro160573	feces metagenome	1861841	oro160573	PRJNA518082
SAMN10876569	oro160574	oro160574	feces metagenome	1861841	oro160574	PRJNA518082
SAMN10876570	oro160575	oro160575	feces metagenome	1861841	oro160575	PRJNA518082
SAMN10876571	oro160576	oro160576	feces metagenome	1861841	oro160576	PRJNA518082
SAMN10876572	oro160577	oro160577	feces metagenome	1861841	oro160577	PRJNA518082
SAMN10876573	oro160578	oro160578	feces metagenome	1861841	oro160578	PRJNA518082
SAMN10876574	oro160579	oro160579	feces metagenome	1861841	oro160579	PRJNA518082
SAMN10876575	oro160580	oro160580	feces metagenome	1861841	oro160580	PRJNA518082
SAMN10876576	oro160581	oro160581	feces metagenome	1861841	oro160581	PRJNA518082
SAMN10876577	oro160584	oro160584	feces metagenome	1861841	oro160584	PRJNA518082
SAMN10876578	oro160585	oro160585	feces metagenome	1861841	oro160585	PRJNA518082
SAMN10876579	oro160586	oro160586	feces metagenome	1861841	oro160586	PRJNA518082
SAMN10876580	oro160587	oro160587	feces metagenome	1861841	oro160587	PRJNA518082
SAMN10876581	oro160588	oro160588	feces metagenome	1861841	oro160588	PRJNA518082
SAMN10876582	oro160589	oro160589	feces metagenome	1861841	oro160589	PRJNA518082
SAMN10876583	oro160590	oro160590	feces metagenome	1861841	oro160590	PRJNA518082
SAMN10876584	oro160591	oro160591	feces metagenome	1861841	oro160591	PRJNA518082
SAMN10876585	oro160592	oro160592	feces metagenome	1861841	oro160592	PRJNA518082
SAMN10876586	oro160593	oro160593	feces metagenome	1861841	oro160593	PRJNA518082
SAMN10876587	oro160594	oro160594	feces metagenome	1861841	oro160594	PRJNA518082
SAMN10876588	oro160595	oro160595	feces metagenome	1861841	oro160595	PRJNA518082
SAMN10876589	oro160596	oro160596	feces metagenome	1861841	oro160596	PRJNA518082
SAMN10876590	oro160597	oro160597	feces metagenome	1861841	oro160597	PRJNA518082
SAMN10876591	oro160598	oro160598	feces metagenome	1861841	oro160598	PRJNA518082
SAMN10876592	oro160599	oro160599	feces metagenome	1861841	oro160599	PRJNA518082
SAMN10876593	oro160600	oro160600	feces metagenome	1861841	oro160600	PRJNA518082
SAMN10876594	oro160601	oro160601	feces metagenome	1861841	oro160601	PRJNA518082
SAMN10876595	oro160603	oro160603	feces metagenome	1861841	oro160603	PRJNA518082
SAMN10876596	oro160604	oro160604	feces metagenome	1861841	oro160604	PRJNA518082
SAMN10876597	oro160605	oro160605	feces metagenome	1861841	oro160605	PRJNA518082
SAMN10876598	oro160606	oro160606	feces metagenome	1861841	oro160606	PRJNA518082
SAMN10876599	oro160607	oro160607	feces metagenome	1861841	oro160607	PRJNA518082
SAMN10876600	oro160608	oro160608	feces metagenome	1861841	oro160608	PRJNA518082
SAMN10876601	oro160609	oro160609	feces metagenome	1861841	oro160609	PRJNA518082
SAMN10876602	oro160610	oro160610	feces metagenome	1861841	oro160610	PRJNA518082
SAMN10876603	oro160611	oro160611	feces metagenome	1861841	oro160611	PRJNA518082
SAMN10876604	oro160612	oro160612	feces metagenome	1861841	oro160612	PRJNA518082
SAMN10876605	oro160613	oro160613	feces metagenome	1861841	oro160613	PRJNA518082
SAMN10876606	oro160614	oro160614	feces metagenome	1861841	oro160614	PRJNA518082
SAMN10876607	oro160615	oro160615	feces metagenome	1861841	oro160615	PRJNA518082
SAMN10876608	oro160616	oro160616	feces metagenome	1861841	oro160616	PRJNA518082
SAMN10876609	oro160617	oro160617	feces metagenome	1861841	oro160617	PRJNA518082
SAMN10876610	oro160618	oro160618	feces metagenome	1861841	oro160618	PRJNA518082
SAMN10876611	oro160619	oro160619	feces metagenome	1861841	oro160619	PRJNA518082
SAMN10876612	oro160620	oro160620	feces metagenome	1861841	oro160620	PRJNA518082
SAMN10876613	oro160621	oro160621	feces metagenome	1861841	oro160621	PRJNA518082
SAMN10876614	oro160622	oro160622	feces metagenome	1861841	oro160622	PRJNA518082
SAMN10876615	oro160623	oro160623	feces metagenome	1861841	oro160623	PRJNA518082
SAMN10876616	oro160624	oro160624	feces metagenome	1861841	oro160624	PRJNA518082
SAMN10876617	oro160625	oro160625	feces metagenome	1861841	oro160625	PRJNA518082
SAMN10876618	oro160626	oro160626	feces metagenome	1861841	oro160626	PRJNA518082
SAMN10876619	oro160627	oro160627	feces metagenome	1861841	oro160627	PRJNA518082
SAMN10876620	oro160628	oro160628	feces metagenome	1861841	oro160628	PRJNA518082
SAMN10876621	oro160629	oro160629	feces metagenome	1861841	oro160629	PRJNA518082
SAMN10876622	oro160634	oro160634	feces metagenome	1861841	oro160634	PRJNA518082
SAMN10876623	oro160635	oro160635	feces metagenome	1861841	oro160635	PRJNA518082
SAMN10876624	oro160636	oro160636	feces metagenome	1861841	oro160636	PRJNA518082
SAMN10876625	oro160637	oro160637	feces metagenome	1861841	oro160637	PRJNA518082
SAMN10876626	oro160638	oro160638	feces metagenome	1861841	oro160638	PRJNA518082
SAMN10876627	oro160639	oro160639	feces metagenome	1861841	oro160639	PRJNA518082
SAMN10876628	oro160640	oro160640	feces metagenome	1861841	oro160640	PRJNA518082
SAMN10876629	oro160641	oro160641	feces metagenome	1861841	oro160641	PRJNA518082
SAMN10876630	oro160642	oro160642	feces metagenome	1861841	oro160642	PRJNA518082
SAMN10876631	oro160643	oro160643	feces metagenome	1861841	oro160643	PRJNA518082
SAMN10876632	oro160645	oro160645	feces metagenome	1861841	oro160645	PRJNA518082
SAMN10876633	oro160646	oro160646	feces metagenome	1861841	oro160646	PRJNA518082
SAMN10876634	oro160647	oro160647	feces metagenome	1861841	oro160647	PRJNA518082
SAMN10876635	oro160648	oro160648	feces metagenome	1861841	oro160648	PRJNA518082
SAMN10876636	oro160649	oro160649	feces metagenome	1861841	oro160649	PRJNA518082
SAMN10876637	oro160650	oro160650	feces metagenome	1861841	oro160650	PRJNA518082
SAMN10876638	oro160651	oro160651	feces metagenome	1861841	oro160651	PRJNA518082
SAMN10876639	oro160652	oro160652	feces metagenome	1861841	oro160652	PRJNA518082
SAMN10876640	oro160653	oro160653	feces metagenome	1861841	oro160653	PRJNA518082
SAMN10876641	oro160654	oro160654	feces metagenome	1861841	oro160654	PRJNA518082
SAMN10876642	oro160655	oro160655	feces metagenome	1861841	oro160655	PRJNA518082
SAMN10876643	oro160657	oro160657	feces metagenome	1861841	oro160657	PRJNA518082
SAMN10876644	oro160658	oro160658	feces metagenome	1861841	oro160658	PRJNA518082
SAMN10876645	oro160659	oro160659	feces metagenome	1861841	oro160659	PRJNA518082
SAMN10876646	oro160660	oro160660	feces metagenome	1861841	oro160660	PRJNA518082
SAMN10876647	oro160661	oro160661	feces metagenome	1861841	oro160661	PRJNA518082
SAMN10876648	oro160662	oro160662	feces metagenome	1861841	oro160662	PRJNA518082
SAMN10876649	oro160663	oro160663	feces metagenome	1861841	oro160663	PRJNA518082
SAMN10876650	oro160664	oro160664	feces metagenome	1861841	oro160664	PRJNA518082
SAMN10876651	oro160665	oro160665	feces metagenome	1861841	oro160665	PRJNA518082
SAMN10876652	oro160666	oro160666	feces metagenome	1861841	oro160666	PRJNA518082
SAMN10876653	oro160668	oro160668	feces metagenome	1861841	oro160668	PRJNA518082
SAMN10876654	oro160669	oro160669	feces metagenome	1861841	oro160669	PRJNA518082
SAMN10876655	oro160670	oro160670	feces metagenome	1861841	oro160670	PRJNA518082
SAMN10876656	oro160671	oro160671	feces metagenome	1861841	oro160671	PRJNA518082
SAMN10876657	oro160672	oro160672	feces metagenome	1861841	oro160672	PRJNA518082
SAMN10876658	oro160673	oro160673	feces metagenome	1861841	oro160673	PRJNA518082
SAMN10876659	oro160674	oro160674	feces metagenome	1861841	oro160674	PRJNA518082
SAMN10876660	oro160675	oro160675	feces metagenome	1861841	oro160675	PRJNA518082
SAMN10876661	oro160676	oro160676	feces metagenome	1861841	oro160676	PRJNA518082
SAMN10876662	oro160677	oro160677	feces metagenome	1861841	oro160677	PRJNA518082
SAMN10876663	oro160678	oro160678	feces metagenome	1861841	oro160678	PRJNA518082
SAMN10876664	oro160679	oro160679	feces metagenome	1861841	oro160679	PRJNA518082
SAMN10876665	oro160680	oro160680	feces metagenome	1861841	oro160680	PRJNA518082
SAMN10876666	oro160681	oro160681	feces metagenome	1861841	oro160681	PRJNA518082
SAMN10876667	negoro12B02	negoro12B02	feces metagenome	1861841	negoro12B02	PRJNA518082
SAMN10876668	negoro12C03	negoro12C03	feces metagenome	1861841	negoro12C03	PRJNA518082
SAMN10876669	negoro12D04	negoro12D04	feces metagenome	1861841	negoro12D04	PRJNA518082
SAMN10876670	negoro12E05	negoro12E05	feces metagenome	1861841	negoro12E05	PRJNA518082
SAMN10876671	negoro12F06	negoro12F06	feces metagenome	1861841	negoro12F06	PRJNA518082
SAMN10876672	negoro12G07	negoro12G07	feces metagenome	1861841	negoro12G07	PRJNA518082
SAMN10876673	negoro12H08	negoro12H08	feces metagenome	1861841	negoro12H08	PRJNA518082
SAMN10876674	negoro13A01	negoro13A01	feces metagenome	1861841	negoro13A01	PRJNA518082
SAMN10876675	negoro13B02	negoro13B02	feces metagenome	1861841	negoro13B02	PRJNA518082
SAMN10876676	negoro13C03	negoro13C03	feces metagenome	1861841	negoro13C03	PRJNA518082
SAMN10876677	negoro13D04	negoro13D04	feces metagenome	1861841	negoro13D04	PRJNA518082
SAMN10876678	negoro13E05	negoro13E05	feces metagenome	1861841	negoro13E05	PRJNA518082
SAMN10876679	negoro13F06	negoro13F06	feces metagenome	1861841	negoro13F06	PRJNA518082
SAMN10876680	negoro13G07	negoro13G07	feces metagenome	1861841	negoro13G07	PRJNA518082
SAMN10876681	negoro14B02	negoro14B02	feces metagenome	1861841	negoro14B02	PRJNA518082
SAMN10876682	negoro14C03	negoro14C03	feces metagenome	1861841	negoro14C03	PRJNA518082
SAMN10876683	negoro14D04	negoro14D04	feces metagenome	1861841	negoro14D04	PRJNA518082
SAMN10876684	negoro14E05	negoro14E05	feces metagenome	1861841	negoro14E05	PRJNA518082
SAMN10876685	negoro14F06	negoro14F06	feces metagenome	1861841	negoro14F06	PRJNA518082
SAMN10876686	negoro14G07	negoro14G07	feces metagenome	1861841	negoro14G07	PRJNA518082
SAMN10876687	negoro14H08	negoro14H08	feces metagenome	1861841	negoro14H08	PRJNA518082
SAMN10876688	negoro15A01	negoro15A01	feces metagenome	1861841	negoro15A01	PRJNA518082
SAMN10876689	negoro15B02	negoro15B02	feces metagenome	1861841	negoro15B02	PRJNA518082
