bioproject_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	biosample_accession
PRJNA518082	bri160609	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160609_L001_R1_001.fastq.gz	bri160609_L001_R2_001.fastq.gz	SAMN10877318
PRJNA518082	bri160610	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160610_L001_R1_001.fastq.gz	bri160610_L001_R2_001.fastq.gz	SAMN10877319
PRJNA518082	bri160611	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160611_L001_R1_001.fastq.gz	bri160611_L001_R2_001.fastq.gz	SAMN10877320
PRJNA518082	bri160612	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160612_L001_R1_001.fastq.gz	bri160612_L001_R2_001.fastq.gz	SAMN10877321
PRJNA518082	bri160751	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	bri160751_L001_R1_001.fastq.gz	bri160751_L001_R2_001.fastq.gz	SAMN10877322
PRJNA518082	mockIM4p7L2	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	mockIM4p7L2_L001_R1_001.fastq.gz	mockIM4p7L2_L001_R2_001.fastq.gz	SAMN10877752
PRJNA518082	negbri45F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negbri45F06_L001_R1_001.fastq.gz	negbri45F06_L001_R2_001.fastq.gz	SAMN10877625
PRJNA518082	negbri45G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negbri45G07_L001_R1_001.fastq.gz	negbri45G07_L001_R2_001.fastq.gz	SAMN10877626
PRJNA518082	negbri45H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negbri45H08_L001_R1_001.fastq.gz	negbri45H08_L001_R2_001.fastq.gz	SAMN10877627
PRJNA518082	negoro37B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro37B02_L001_R1_001.fastq.gz	negoro37B02_L001_R2_001.fastq.gz	SAMN10877540
PRJNA518082	negoro37F08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro37F08_L001_R1_001.fastq.gz	negoro37F08_L001_R2_001.fastq.gz	SAMN10877541
PRJNA518082	negoro38A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38A01_L001_R1_001.fastq.gz	negoro38A01_L001_R2_001.fastq.gz	SAMN10877542
PRJNA518082	negoro38B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38B02_L001_R1_001.fastq.gz	negoro38B02_L001_R2_001.fastq.gz	SAMN10877543
PRJNA518082	negoro38D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38D04_L001_R1_001.fastq.gz	negoro38D04_L001_R2_001.fastq.gz	SAMN10877544
PRJNA518082	negoro38E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38E05_L001_R1_001.fastq.gz	negoro38E05_L001_R2_001.fastq.gz	SAMN10877545
PRJNA518082	negoro38F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38F06_L001_R1_001.fastq.gz	negoro38F06_L001_R2_001.fastq.gz	SAMN10877546
PRJNA518082	negoro38G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro38G07_L001_R1_001.fastq.gz	negoro38G07_L001_R2_001.fastq.gz	SAMN10877547
PRJNA518082	negoro39A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro39A01_L001_R1_001.fastq.gz	negoro39A01_L001_R2_001.fastq.gz	SAMN10877548
PRJNA518082	negoro39B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro39B02_L001_R1_001.fastq.gz	negoro39B02_L001_R2_001.fastq.gz	SAMN10877549
PRJNA518082	negoro39D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro39D04_L001_R1_001.fastq.gz	negoro39D04_L001_R2_001.fastq.gz	SAMN10877550
PRJNA518082	negoro39E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro39E05_L001_R1_001.fastq.gz	negoro39E05_L001_R2_001.fastq.gz	SAMN10877551
PRJNA518082	negoro39F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro39F06_L001_R1_001.fastq.gz	negoro39F06_L001_R2_001.fastq.gz	SAMN10877552
PRJNA518082	negoro40B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40B02_L001_R1_001.fastq.gz	negoro40B02_L001_R2_001.fastq.gz	SAMN10877553
PRJNA518082	negoro40C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40C03_L001_R1_001.fastq.gz	negoro40C03_L001_R2_001.fastq.gz	SAMN10877554
PRJNA518082	negoro40D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40D04_L001_R1_001.fastq.gz	negoro40D04_L001_R2_001.fastq.gz	SAMN10877555
PRJNA518082	negoro40E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40E05_L001_R1_001.fastq.gz	negoro40E05_L001_R2_001.fastq.gz	SAMN10877556
PRJNA518082	negoro40F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40F06_L001_R1_001.fastq.gz	negoro40F06_L001_R2_001.fastq.gz	SAMN10877557
PRJNA518082	negoro40G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40G07_L001_R1_001.fastq.gz	negoro40G07_L001_R2_001.fastq.gz	SAMN10877558
PRJNA518082	negoro40H08	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40H08_L001_R1_001.fastq.gz	negoro40H08_L001_R2_001.fastq.gz	SAMN10877559
PRJNA518082	negoro40H09	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40H09_L001_R1_001.fastq.gz	negoro40H09_L001_R2_001.fastq.gz	SAMN10877560
PRJNA518082	negoro40H10	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40H10_L001_R1_001.fastq.gz	negoro40H10_L001_R2_001.fastq.gz	SAMN10877561
PRJNA518082	negoro40H11	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro40H11_L001_R1_001.fastq.gz	negoro40H11_L001_R2_001.fastq.gz	SAMN10877562
PRJNA518082	negoro43B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro43B02_L001_R1_001.fastq.gz	negoro43B02_L001_R2_001.fastq.gz	SAMN10877616
PRJNA518082	negoro43D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro43D04_L001_R1_001.fastq.gz	negoro43D04_L001_R2_001.fastq.gz	SAMN10877617
PRJNA518082	negoro43F06	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro43F06_L001_R1_001.fastq.gz	negoro43F06_L001_R2_001.fastq.gz	SAMN10877618
PRJNA518082	negoro43G07	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro43G07_L001_R1_001.fastq.gz	negoro43G07_L001_R2_001.fastq.gz	SAMN10877619
PRJNA518082	negoro45A01	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro45A01_L001_R1_001.fastq.gz	negoro45A01_L001_R2_001.fastq.gz	SAMN10877620
PRJNA518082	negoro45B02	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro45B02_L001_R1_001.fastq.gz	negoro45B02_L001_R2_001.fastq.gz	SAMN10877621
PRJNA518082	negoro45C03	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro45C03_L001_R1_001.fastq.gz	negoro45C03_L001_R2_001.fastq.gz	SAMN10877622
PRJNA518082	negoro45D04	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro45D04_L001_R1_001.fastq.gz	negoro45D04_L001_R2_001.fastq.gz	SAMN10877623
PRJNA518082	negoro45E05	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	negoro45E05_L001_R1_001.fastq.gz	negoro45E05_L001_R2_001.fastq.gz	SAMN10877624
PRJNA518082	oro161520	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161520_L001_R1_001.fastq.gz	oro161520_L001_R2_001.fastq.gz	SAMN10877323
PRJNA518082	oro161521	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161521_L001_R1_001.fastq.gz	oro161521_L001_R2_001.fastq.gz	SAMN10877324
PRJNA518082	oro161522	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161522_L001_R1_001.fastq.gz	oro161522_L001_R2_001.fastq.gz	SAMN10877325
PRJNA518082	oro161523	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161523_L001_R1_001.fastq.gz	oro161523_L001_R2_001.fastq.gz	SAMN10877326
PRJNA518082	oro161524	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161524_L001_R1_001.fastq.gz	oro161524_L001_R2_001.fastq.gz	SAMN10877327
